EM2016 Players,Net Worth in Millions
Etrit Berisha,4.0
Orges Shehi,0.125
Alban Hoxha,0.575
Lorik Cana,1.0
Mërgim Mavraj,1.75
Elseid Hysaj,12.0
Ansi Agolli,0.3
Arlind Ajeti,1.5
Naser Aliji,0.7
Frédéric Veseli,0.8
Taulant Xhaka,4.0
Amir Abrashi,2.5
Ledian Memushaj,2.0
Migjen Basha,0.8
Burim Kukeli,0.5
Ergys Kaçe,3.0
Andi Lila,0.7
Ermir Lenjani,1.25
Odise Roshi,0.35
Shkëlzen Gashi,2.75
Sokol Çikalleshi,2.8
Bekim Balaj,2.0
Armando Sadiku,0.75
Hugo Lloris,24.0
Steve Mandanda,10.0
Benoît Costil,8.0
Bacary Sagna,7.0
Christophe Jallet,2.0
Laurent Koscielny,22.0
Eliaquim Mangala,23.0
Samuel Umtiti,15.0
Patrice Evra,1.0
Lucas Digne,12.0
Adil Rami,7.0
Paul Pogba,70.0
Blaise Matuidi,30.0
N'Golo Kanté,20.0
Yohan Cabaye,18.0
Moussa Sissoko,13.0
Morgan Schneiderlin,30.0
Dimitri Payet,23.0
Kingsley Coman,17.0
Antoine Griezmann,70.0
Anthony Martial,32.0
Olivier Giroud,25.0
André-Pierre Gignac,8.0
Ciprian Tătărușanu,5.0
Costel Pantilimon,4.5
Cristian Săpunaru,1.0
Alexandru Mățel,1.0
Vlad Chiricheș,5.5
Valerică Găman,2.2
Cosmin Moți,1.25
Steliano Filip,1.25
Răzvan Raț,0.5
Mihai Pintilii,1.0
Ovidiu Hoban,0.8
Adrian Popa,2.0
Gabriel Torje,4.0
Lucian Sânmărtean,0.3
Nicolae Stanciu,3.5
Alexandru Chipciu,2.0
Andrei Prepeliţă,1.9
Claudiu Keșeru,4.0
Florin Andone,2.5
Bogdan Stancu,4.0
Denis Alibec,2.5
Roman Bürki,6.0
Yann Sommer,10.0
Marwin Hitz,4.5
Stephan Lichtsteiner,6.0
Michael Lang,4.25
Ricardo Rodríguez,25.0
François Moubandje,1.5
Johan Djourou,3.5
Fabian Schär,4.0
